Y,r,I,rpBANK,H,C,K,lev,n,Equity,q,LA,A,mu,log_Y,log_C,log_I,log_r,log_q,log_LA,log_A,log_H,log_rpBANK
7341.557,0.1719,972.248,1.33666666666667,67.597,4479.62422041525,28952.15,4487.958,2829.745,148.17,0.162800310166948,108.607734071039,17.7683240472194,0.549347645204023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7190.289,0.0947,889.579,2.15333333333333,66.376,4381.75812877522,28952.15,4565.249,2940.79,148.17,0.162800310166948,108.32663914668,17.6260121491127,2.34015244287536,-0.0208195798315742,-0.0220891204242566,-0.0888625988470766,-0.596198912196771,0,-0.00259152182762712,-0.00804155016315811,-0.0182280580039462,0.476838076476029
7181.743,0.1087,830.866,1.59,66.074,4434.48232513702,28952.15,4692.075,3070.952,145.97,0.167104860951605,108.692420619306,17.6613724196423,1.104862602849,-0.00118925438062334,0.0119608409511436,-0.0682797867537666,0.137877793935131,0.0260971664846659,0.00337096492259548,0.00200413166332636,-0.0045602193032197,-0.303283012894259
7315.677,0.189,908.306,1.84,66.962,4488.78706199461,28952.15,4845.626,3214.547,148.02,0.172479280467945,109.251172306681,17.8230317505272,1.65306815315656,0.018477468485921,0.0121716391003588,0.0891127958845352,0.553155220932478,0.0316555907742646,0.00512750023125985,0.00911163386294644,0.0133499682546541,0.146031555388754
7459.022,0.147,992.376,2.08333333333333,67.348,4502.17022800525,29738.288,4933.833,3321.056,148.62,0.170906038706734,110.753429945952,17.9548549183914,2.18665488878923,0.0194047266803601,0.00297703024566331,0.0885207414950067,-0.251314428280906,-0.00916319179259339,0.0136568141982254,0.00736900787955319,0.00574791248213469,0.124203603459304
7403.745,0.191,951.246,1.78666666666667,67.4,4489.11155331851,29738.288,5078.43,3417.664,150.68,0.175837627236645,109.847848664688,17.8121020613216,1.53611763575762,-0.00743835315034502,-0.00290474354741654,-0.0423293635547317,0.261840841267894,0.0284470724517902,-0.00821016427305299,-0.00798242999302312,0.000771811122707966,-0.153617488665596
7492.405,0.1587,1004.861,1.55666666666667,67.362,4499.41175118914,29738.288,5239.482,3456.35,151.6,0.181284208425179,111.225987945726,18.0325117565914,1.03176852947467,0.0119038875069215,0.00229185641072682,0.0548317982963429,-0.185257800514266,0.030505015378143,0.0124678447204882,0.0122982199999973,-0.000563957213564059,-0.137804903401904
7410.768,0.1237,969.475,2.06666666666667,67.069,4459.91055092498,29738.288,5407.954,3582.392,153.12,0.187000475615812,110.494684578568,17.8905688651906,2.15010785210207,-0.0109557631202328,-0.00881795628901116,-0.0358498146076185,-0.249156348133921,0.031045148186138,-0.00659664262029658,-0.00790264240473926,-0.00435912049993892,0.283390220370239
7295.631,0.1468,877.772,2.02333333333334,65.94,4487.86764705882,30368.384,5508.313,3655.244,153.87,0.18644992766161,110.640445859873,17.7122298205195,2.05508555671543,-0.0156584018269079,0.00624896739532055,-0.0993678090436001,0.171211836781973,-0.00294844160408214,0.00131830073427164,-0.0100183436621912,-0.0169767025611733,-0.0211906869796372
7328.912,0.1415,877.104,2.27,66.244,4486.38453247696,30368.384,5657.74,3692.422,154.4,0.191387859163003,110.63510657569,17.7357143357542,2.59598169968555,0.00455139794138049,-0.000330526614517268,-0.000761307388400745,-0.036771399097123,0.0261393266093954,-4.8259142279683e-05,0.00132501442493105,0.00459965708366017,0.115033515090011
7300.896,0.1031,869.067,2.49666666666667,65.772,4523.44712414332,30368.384,5809.881,3763.532,154.96,0.196416147793705,111.003101623791,17.7566956375027,3.09302139863107,-0.0038299934280559,0.00822719050305309,-0.00920534902194259,-0.316600326060378,0.0259335661927316,0.00332068544720432,0.00118229808617265,-0.00715067887526555,0.0951766773677085
7303.817,0.0895,801.889,2.51333333333334,65.158,4605.57678272442,30368.384,5987.809,3823.042,155.99,0.202309052730629,112.093940882163,17.8809863593662,3.12956843531823,0.000400007865810181,0.0179935720016307,-0.0804500281106328,-0.141460765742104,0.0295608807622243,0.00977913413210718,0.00697526993000253,-0.00937912626629789,0.00665338449073771
7400.066,0.0877,829.672,1.99,65.555,4654.20128680387,31093.054,6096.694,3900.519,155.81,0.201090056962561,112.883319350164,17.9129637871528,1.98199148334109,0.0130918308749912,0.0105024009550725,0.0340602476654999,-0.0203167259026724,-0.00604363990476076,0.00701743550931067,0.00178675089857228,0.0060743953656841,-0.233475254615357
7568.456,0.0898,903.148,1.68,66.318,4757.09089371061,31093.054,6292.177,3963.389,156.14,0.207387701446117,114.123706987545,18.1724884080408,1.30221660095973,0.0225001645449137,0.021866010402416,0.08485599614127,0.0236630759300165,0.0308371430133736,0.0109282959394079,0.0143841398567472,0.0115718686055075,-0.169340845321234
7719.746,0.0945,959.692,1.18333333333333,67.644,4854.45395383875,31093.054,6503.711,3970.06,157.35,0.21422987269118,114.123144698717,18.2802047765339,0.213114907682057,0.0197923783068283,0.0202602999025512,0.0607259615459812,0.0510148591915431,0.0324596146463183,-4.92702373655618e-06,0.00590994368887232,0.0197973053305649,-0.350458478595956
7880.794,0.0947,1053.054,1.19666666666667,68.914,4927.1998504704,31093.054,6690.009,4037.394,156.92,0.220207670819341,114.356937632411,18.4197066987215,0.242352537031793,0.0206471982740037,0.0148742205129508,0.0928373932198543,0.00211416569233558,0.0275214494070444,0.00204650674935092,0.00760233954044987,0.0186006915246484,0.0112045990128687
8034.847,0.0991,1154.826,1.46,70.233,4971.65854561155,32068.518,6875.564,4010.718,158.5,0.219344841567047,114.402730909971,18.3615784339395,0.819795716689084,0.0193592971005696,0.00898265078701677,0.0922551693861129,0.0454154411439096,-0.00392594894224119,0.000400361466367016,-0.00316075487661305,0.0189589356342044,0.198896521888164
